animal_id,ZBNr,Name,Rasse,Wurfdatum,geburtsjahr,birthyear_clean,geschlecht,sex_clean,sex_code,father_id,mother_id,ed_score,ed_trait_blup,ed_phenotyped_bool,ED_rechts_raw,ED_links_raw,ed_blup_raw,se_blup,pev,reliability,reliability_prozent,accuracy,accuracy_prozent,sicherheitsklasse,ed_zw_0_10_niedrig_gut
87703,KCSB 2519CP,Mediterian Blue,Labrador-Retriever,2/26/2003,2003.0,2003.0,R,R,1,85462,87705,,,False,-,,-0.16822441,0.12596342,0.015866783178096398,0.6836891834835852,68.36891834835852,0.8268549954396993,82.68549954396993,hoch,-12.62879198672422
30242,KCSB 4537CI,Bellever Simon,Labrador-Retriever,,,,R,R,1,30308,29714,,,False,-,,-0.16785837,0.15227992,0.023189174035206404,0.5377143248832501,53.77143248832501,0.7332900687199099,73.32900687199098,mittel,-12.598891659314052
88505,1116341,Donald vom Kleinen Hülser Berg,Labrador-Retriever,5/14/2011,2011.0,2011.0,R,R,1,33357,23871,0.0,1.0,True,"frei,frei",frei,-0.1678409,0.17137109,0.0293680504877881,0.41453589394784696,41.45358939478469,0.6438446194136027,64.38446194136027,mittel,-12.597464605659106
88506,1116342,Doc Linus vom Kleinen Hülser Berg,Labrador-Retriever,5/14/2011,2011.0,2011.0,R,R,1,33357,23871,0.0,1.0,True,"frei,frei",frei,-0.1678409,0.17137109,0.0293680504877881,0.41453589394784696,41.45358939478469,0.6438446194136027,64.38446194136027,mittel,-12.597464605659106
88507,1116343,Dexter vom Kleinen Hülser Berg,Labrador-Retriever,5/14/2011,2011.0,2011.0,R,R,1,33357,23871,0.0,1.0,True,"frei,frei",frei,-0.1678409,0.17137109,0.0293680504877881,0.41453589394784696,41.45358939478469,0.6438446194136027,64.38446194136027,mittel,-12.597464605659106
88504,1116340,Der Räuber vom Kleinen Hülser Berg,Labrador-Retriever,5/14/2011,2011.0,2011.0,R,R,1,33357,23871,0.0,1.0,True,"frei,frei",frei,-0.1678409,0.17137109,0.0293680504877881,0.41453589394784696,41.45358939478469,0.6438446194136027,64.38446194136027,mittel,-12.597464605659106
88508,1116344,Diego vom Kleinen Hülser Berg,Labrador-Retriever,5/14/2011,2011.0,2011.0,R,R,1,33357,23871,0.0,1.0,True,"frei,frei",frei,-0.1678409,0.17137109,0.0293680504877881,0.41453589394784696,41.45358939478469,0.6438446194136027,64.38446194136027,mittel,-12.597464605659106
145359,1822355,Quirin vom Keien Fenn,Labrador-Retriever,3/11/2018,2018.0,2018.0,R,R,1,143752,108171,0.0,1.0,True,"frei,frei",frei,-0.16773203,0.1097808,0.01205182404864,0.7597419550926996,75.97419550926996,0.8716317772389323,87.16317772389323,hoch,-12.588571455606806
148705,1823033,Iro Tayo little Dragon from Fire Fighter,Labrador-Retriever,9/15/2018,2018.0,2018.0,R,R,1,115278,104311,0.0,1.0,True,"frei,frei",frei,-0.16750595,0.17333642,0.030045514498416397,0.4010303716275986,40.10303716275986,0.6332695884278658,63.32695884278658,mittel,-12.570103894627426
148707,1823035,Ivrig Loki little Dragon from Fire Fighter,Labrador-Retriever,9/15/2018,2018.0,2018.0,R,R,1,115278,104311,0.0,1.0,True,"frei,frei",frei,-0.16750595,0.17333642,0.030045514498416397,0.4010303716275986,40.10303716275986,0.6332695884278658,63.32695884278658,mittel,-12.570103894627426
148708,1823036,Igo little Dragon from Fire Fighter,Labrador-Retriever,9/15/2018,2018.0,2018.0,R,R,1,115278,104311,0.0,1.0,True,"frei,frei",frei,-0.16750595,0.17333642,0.030045514498416397,0.4010303716275986,40.10303716275986,0.6332695884278658,63.32695884278658,mittel,-12.570103894627426
148706,1823034,Iwo-Kalle little Dragon from Fire Fighter,Labrador-Retriever,9/15/2018,2018.0,2018.0,R,R,1,115278,104311,0.0,1.0,True,"frei,frei",frei,-0.16750595,0.17333642,0.030045514498416397,0.4010303716275986,40.10303716275986,0.6332695884278658,63.32695884278658,mittel,-12.570103894627426
70631,814088,CrossSearcher Abraxas,Labrador-Retriever,12/14/2008,2008.0,2008.0,R,R,1,34779,34585,0.0,1.0,True,"frei,frei",frei,-0.16733516,0.14216364,0.0202105005380496,0.5970954001425461,59.709540014254614,0.772719483475437,77.2719483475437,mittel,-12.55615275016676
33928,98-6939,Ivy Up'n Köppen,Labrador-Retriever,1/29/1998,1998.0,1998.0,H,H,2,28075,25135,0.0,1.0,True,"frei,frei",frei,-0.16713721,0.1558949,0.024303219846010003,0.5155053656949483,51.55053656949483,0.717987023347183,71.7987023347183,mittel,-12.539983015135498
117944,1620322,Merle vom alten Trappisten Kloster,Labrador-Retriever,2/21/2016,2016.0,2016.0,H,H,2,102509,105251,0.0,1.0,True,"frei,frei",frei,-0.16691461,0.14632289,0.021410388137952104,0.5731751497557493,57.31751497557494,0.7570833175785538,75.70833175785539,mittel,-12.521799721283724
